Missouri ,4320,4678,4917,4932,4929,4944,4975,5000,5023,5057,5082,5096,5117,5117,5129,5171,5217,5271,5324,5378,5432,5481,5522,5562,5595,5597,5606,5644,5681,5715,5758,5807,5862,5910,5956,5988
Montana ,675,694,787,795,804,814,821,822,814,805,800,800,799,799,800,810,826,845,861,877,886,890,892,898,902,902,903,906,910,917,926,935,946,957,968,975
Nebraska ,1411,1485,1570,1579,1582,1584,1589,1585,1574,1567,1571,1575,1578,1578,1582,1596,1612,1626,1639,1657,1674,1686,1696,1705,1711,1711,1713,1718,1725,1734,1742,1752,1760,1770,1782,1797
Nevada ,285,489,800,848,882,902,925,951,981,1023,1075,1137,1202,1202,1221,1296,1351,1411,1499,1582,1666,1764,1853,1935,1998,1998,2018,2095,2166,2237,2329,2409,2493,2568,2616,2643
New Hampshire ,607,738,921,937,948,958,977,997,1025,1054,1083,1105,1109,1109,1112,1110,1118,1129,1143,1158,1175,1189,1206,1222,1236,1236,1240,1257,1271,1282,1293,1301,1312,1317,1322,1325
New Jersey ,6067,7171,7365,7407,7431,7468,7515,7566,7622,7671,7712,7726,7730,7748,7763,7815,7881,7949,8014,8083,8150,8219,8287,8360,8414,8414,8431,8489,8544,8583,8612,8622,8624,8636,8663,8708
New Mexico ,951,1017,1303,1333,1364,1394,1417,1438,1463,1479,1490,1504,1515,1515,1522,1555,1595,1636,1682,1720,1752,1775,1793,1808,1819,1819,1821,1829,1850,1870,1892,1917,1943,1969,1987,2010
New York ,16782,18241,17558,17568,17590,17687,17746,17792,17833,17869,17941,17983,17991,17991,18021,18123,18247,18375,18459,18524,18588,18657,18756,18883,18976,18977,18998,19089,19162,19231,19298,19331,19357,19423,19468,19541
North Carolina ,4556,5084,5882,5957,6019,6077,6164,6254,6322,6404,6481,6565,6632,6632,6664,6784,6897,7043,7187,7345,7501,7657,7809,7949,8049,8046,8079,8203,8317,8416,8531,8669,8867,9064,9247,9381
North Dakota ,632,618,653,660,669,677,680,677,669,661,655,646,639,639,638,636,638,641,645,648,650,650,648,644,642,642,641,636,634,633,636,635,637,638,641,647
Ohio ,9706,10657,10798,10788,10757,10738,10738,10735,10730,10760,10799,10829,10847,10847,10864,10946,11029,11101,11152,11203,11243,11277,11312,11335,11353,11353,11364,11397,11421,11445,11465,11475,11492,11521,11528,11543
Oklahoma ,2328,2559,3025,3096,3206,3290,3286,3271,3253,3210,3167,3150,3146,3146,3149,3175,3221,3252,3281,3308,3340,3373,3405,3437,3451,3451,3454,3465,3485,3499,3514,3533,3574,3612,3644,3687
Oregon ,1769,2092,2633,2668,2665,2653,2667,2673,2684,2701,2741,2791,2842,2842,2860,2929,2992,3060,3121,3184,3247,3304,3352,3394,3421,3421,3431,3470,3517,3550,3574,3618,3678,3733,3783,3826
Pennsylvania ,11319,11801,11864,11859,11845,11838,11815,11771,11783,11811,11846,11866,11883,11883,11903,11982,12049,12120,12166,12198,12220,12228,12246,12264,12281,12281,12286,12300,12326,12358,12388,12418,12471,12523,12566,12605
Rhode Island ,859,950,947,953,954,956,962,969,977,990,996,1001,1003,1003,1006,1011,1013,1015,1016,1017,1021,1025,1031,1040,1048,1048,1051,1058,1066,1072,1071,1065,1060,1055,1054,1053
South Carolina ,2383,2591,3122,3179,3208,3234,3272,3303,3343,3381,3412,3457,3486,3486,3501,3570,3620,3663,3705,3749,3796,3860,3919,3975,4012,4012,4024,4063,4104,4146,4201,4256,4339,4424,4503,4561
South Dakota ,681,666,691,690,691,693,697,698,696,696,698,697,696,696,697,704,713,722,731,738,742,744,746,750,755,755,756,759,762,767,774,780,789,797,805,812
Tennessee ,3567,3926,4591,4628,4646,4660,4687,4715,4739,4783,4822,4854,4877,4877,4894,4967,5050,5138,5231,5327,5417,5499,5570,5639,5689,5689,5703,5755,5803,5857,5917,5996,6089,6173,6240,6296
Texas ,9580,11199,14229,14746,15331,15752,16007,16273,16561,16622,16667,16807,16986,16986,17057,17398,17760,18162,18564,18959,19340,19740,20158,20558,20852,20852,20946,21333,21711,22058,22418,22802,23369,23838,24304,24782
Utah ,891,1059,1461,1515,1558,1595,1622,1643,1663,1678,1689,1706,1723,1723,1731,1780,1837,1898,1960,2014,2068,2120,2166,2203,2233,2233,2244,2291,2334,2380,2439,2500,2584,2664,2727,2785
Vermont ,390,445,511,516,519,523,527,530,534,540,550,558,563,563,565,569,573,578,584,589,594,597,600,605,609,609,610,612,615,617,618,619,620,620,621,622
Virginia ,3967,4651,5347,5444,5493,5565,5644,5715,5812,5932,6037,6120,6189,6189,6217,6301,6414,6510,6593,6671,6751,6829,6901,7000,7079,7079,7105,7191,7284,7374,7469,7564,7647,7720,7795,7883
Washington ,2853,3413,4132,4236,4277,4300,4344,4400,4453,4532,4640,4746,4867,4867,4903,5026,5161,5279,5375,5481,5570,5675,5770,5843,5894,5894,5911,5988,6056,6113,6184,6261,6372,6465,6566,6664
West Virginia ,1860,1744,1950,1954,1950,1945,1928,1907,1882,1858,1830,1807,1793,1793,1793,1799,1806,1818,1820,1824,1823,1819,1816,1812,1808,1808,1807,1799,1799,1802,1803,1804,1807,1811,1815,1820
Wisconsin ,3952,4418,4706,4726,4729,4721,4736,4748,4756,4778,4822,4857,4892,4892,4905,4964,5025,5085,5134,5185,5230,5266,5298,5333,5364,5364,5374,5409,5447,5477,5511,5541,5572,5602,5628,5655
Wyoming ,330,332,470,492,506,510,505,500,496,477,465,458,454,454,454,459,466,473,480,485,488,489,491,492,494,494,494,493,497,499,503,506,513,523,533,544
